Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1622,0.8823529411764706,0.0,0.47368421052631576,0.39622641509433965,0.0,0.0,0.75,0.52
1621,0.3125,0.0,0.34210526315789475,0.1978021978021978,0.0,0.0,0.2222222222222222,0.3684210526315789
1620,0.8461538461538461,0.0,0.47368421052631576,0.3577981651376147,0.0,0.0,0.6896551724137931,0.47368421052631576
1627,0.3125,0.0,0.34210526315789475,0.1978021978021978,0.0,0.0,0.2222222222222222,0.3684210526315789
1626,0.15625,0.0,0.32608695652173914,0.23711340206185566,0.0,0.0,0.2222222222222222,0.37349397590361444
1625,0.3125,0.0,0.34210526315789475,0.1978021978021978,0.0,0.0,0.2222222222222222,0.3684210526315789
1624,0.7625,0.0,0.47619047619047616,0.36363636363636365,0.0,0.0,0.75,0.4774774774774775
1999,0.0,0.0,0.6818181818181818,0.6,0.0,0.0,0.0,0.5
1998,0.8611111111111112,0.0,0.55,0.3793103448275862,0.0,0.0,1.0,0.6153846153846154
1629,0.375,0.0,0.6,0.4,0.0,0.0,0.9230769230769231,0.7368421052631579
1377,0.5,0.0,0.0,0.391304347826087,0.0,0.0,0.5,0.6666666666666666
559,0.0,0.0,0.8333333333333334,0.38461538461538464,0.0,0.0,0.0,0.16666666666666666
558,0.0,0.0,0.7,0.6666666666666666,0.0,0.0,0.0,0.625
555,0.5,0.0,0.6,0.35714285714285715,0.0,0.0,0.0,0.5454545454545454
554,0.0,0.0,0.375,0.43478260869565216,0.0,0.0,0.0,0.46
557,0.0,0.0,0.75,0.5384615384615384,0.0,0.0,0.0,0.7
556,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.875
551,0.875,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.5769230769230769
550,0.875,0.0,0.3,0.2857142857142857,0.0,0.0,0.0,0.45454545454545453
553,1.0,0.0,0.6,0.5714285714285714,0.0,0.0,1.0,0.7272727272727273
552,0.0,0.0,0.375,1.0,0.0,0.0,0.0,1.0
1439,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.5
1199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1190,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0
1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
