Suite,AOR,LOR,COR,ROR,SOR,ORU,STD,LVR
108,0.0,0,0.0,0.5,0,0,0.0,0.2
109,0.9285714285714286,0,0.375,0.3333333333333333,0,0,0.2857142857142857,0.6875
102,0.0,0,0.0,0.3333333333333333,0,0,0.0,0.3333333333333333
103,0.0,0,0.0,0.5,0,0,0.0,0.2
100,0.0,0,0.0,0.5,0,0,0.0,0.2
101,0.8529411764705882,0,0.6666666666666666,0.6,0,0,0.7142857142857143,0.8403361344537815
106,0.0,0,0.0,0.5,0,0,0.0,0.2
107,0.0,0,0.0,0.5,0,0,0.0,0.2
104,0.0,0,0.0,0.5,0,0,0.0,0.2
105,0.0,0,0.0,0.5,0,0,0.0,0.4
39,0.0,0,0.0,0.5,0,0,0.0,0.2
38,0.6388888888888888,0,0.125,0.3220338983050847,0,0,0.25,0.5714285714285714
33,0.0,0,0.0,0.5,0,0,0.0,0.2
32,0.0,0,0.0,0.5,0,0,0.0,0.2
31,0.0,0,0.0,0.2413793103448276,0,0,0.0,0.375
30,0.0,0,0.0,1.0,0,0,1.0,0.2
37,0.0,0,0.0,0.5,0,0,0.0,0.2
36,0.0,0,0.0,0.5,0,0,0.0,0.2
35,0.0,0,0.0,0.5,0,0,0.0,0.2
34,0.0,0,0.0,0.5,0,0,0.0,0.3333333333333333
60,0.0,0,0.0,0.5,0,0,0.0,0.2
61,0.0,0,0.0,0.5,0,0,0.0,0.2
62,0.0,0,0.0,0.5,0,0,0.0,0.2
63,0.0,0,0.0,0.5,0,0,0.0,0.2
64,0.9285714285714286,0,0.375,0.30952380952380953,0,0,0.2857142857142857,0.6666666666666666
65,0.0,0,0.0,0.5,0,0,0.0,0.2
66,0.0,0,0.0,0.2413793103448276,0,0,0.0,0.3333333333333333
67,0.0,0,0.0,0.5,0,0,0.0,0.2
68,0.0,0,0.0,0.2413793103448276,0,0,0.0,0.3333333333333333
69,0.0,0,0.0,0.5,0,0,0.0,0.2
2,0.0,0,0.0,0.0,0,0,0.0,0.0
