Mutant Number,Operator Class,Killed by,Description
76,COR,[],"||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b |==> a + b <= c != a + c <= b
"
77,COR,"['1', '2']","||(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b |==> a + b <= c
"
78,COR,"['1', '2', '3']","||(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b |==> a + c <= b
"
79,COR,"['1', '2', '3']","||(boolean,boolean):TRUE(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b |==> true
"
80,AOR,['2'],"+(int,int):%(int,int):triangle.Triangle@classify:34:b + c |==> b % c
"
81,AOR,['2'],"+(int,int):*(int,int):triangle.Triangle@classify:34:b + c |==> b * c
"
82,AOR,"['1', '2', '3']","+(int,int):-(int,int):triangle.Triangle@classify:34:b + c |==> b - c
"
83,AOR,"['1', '2', '3']","+(int,int):/(int,int):triangle.Triangle@classify:34:b + c |==> b / c
"
84,ROR,['2'],"<=(int,int):<(int,int):triangle.Triangle@classify:34:b + c <= a |==> b + c < a
"
85,ROR,"['1', '2']","<=(int,int):==(int,int):triangle.Triangle@classify:34:b + c <= a |==> b + c == a
"
86,ROR,"['1', '2', '3']","<=(int,int):TRUE(int,int):triangle.Triangle@classify:34:b + c <= a |==> true
"
87,COR,[],"||(boolean,boolean):!=(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b || b + c <= a |==> (a + b <= c || a + c <= b) != b + c <= a
"
88,COR,"['1', '2']","||(boolean,boolean):LHS(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b || b + c <= a |==> a + b <= c || a + c <= b
"
89,COR,"['1', '2', '3']","||(boolean,boolean):RHS(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b || b + c <= a |==> b + c <= a
"
90,COR,"['1', '2', '3']","||(boolean,boolean):TRUE(boolean,boolean):triangle.Triangle@classify:34:a + b <= c || a + c <= b || b + c <= a |==> true
"
